#List
abase v.降低···的地位，贬抑，使卑下
chipmunk n.花栗鼠(像松鼠的美洲小动物)
chipper a.爽朗的，活泼的
chirp v.（鸟或虫）唧唧叫
chisel n.凿子；v.凿；欺骗
choice a.上等的；精选的
choke v.(使)窒息，阻塞
choleric a.易怒的，暴躁的
choosy a.挑三拣四的，挑剔的
chortle v.开心地笑，咯咯地笑
chronic a.慢性的，长期的
chuck v.丢弃，抛弃；解雇；辞职
chuckle v.轻声地笑
churl n.粗鄙之人
ciliate a.有纤毛的；有睫毛的
cinder n.余烬，矿渣
circular a.圆形的
citation n.引证；引文；船票
civilian n.平民
clairvoyance n.超人的洞察力
clairvoyant adj.透视的，有洞察力的
clammy a.湿冷的，发粘的
clandestine a.秘密的，偷偷摸摸的
clarify v.澄清
clash v.冲突，撞击
clasp n.钩子，扣子；紧握
cleft n.裂缝；a.劈开的
clement a.温和的；仁慈的
clench v.握紧；咬紧（牙关等）
clinch v.钉牢；最终解决
cling v.紧抓住；舍不得放弃
clot n.凝块；v.使凝结成块
cloudburst n.大暴雨，豪雨
cloy v.生腻，吃腻
cluster n.串，束，群；v.成群，成串
coagulate v.使凝结
coagulation n.凝固
coarsen v.使某物变粗糙
coda n.乐曲的尾声
coddle v.溺爱；悉心照料
coeval a.同年代的
coffer n.保险柜，保险箱
cogitate v.慎重仔细地思考，思索
cohesion n.（人、物）内聚力，凝聚力
collage n.拼贴画
collapse v.坍塌，塌陷；虚脱，晕倒
collate v.对照，核对
collision n.碰撞，冲突
colloquy n.(非正式的）交谈，会谈
collude v.串通，共谋
colt n.小雄马；新手
coma n.昏迷状态
comatose a.昏迷的
combat n./v.格斗，搏斗
comedienne n.说笑话、演滑稽剧等的女演员
comely a.吸引人的，美丽的
comestible n.食物，食品
comeuppance n.应得的惩罚，因果报应
comma n.逗号
commemorate v.纪念(伟人、大事件等)
commence v.开始，倡导
commencement n.开始；(大学的)毕业典礼
#List
commit v.托付；承诺；犯罪
commonplace a.平常的，平庸的
commonsense a.具有常识的
compact a.结实的；简洁明了的；n.合同，协议
compatible a.和谐共处的，相容的
compile v.汇集；编辑
complaisance n.彬彬有礼，殷勤，柔顺
complaisant a.顺从的，讨好的
complicity n.合谋，串通
compress v.压缩，浓缩
compulsion n.强迫；难以抗拒的冲动，欲望
compunction n.懊悔，良心不安
con n.反对论 v.欺骗
concatenate v.连结；连锁
concave a.凹的
conceit n.自负，自大
concession n.让步
conciliate v.安抚，使和解，调和
concinnity n.优美；雅致；协调
concise a.简洁的
concord n.和睦；一致
condemn v.极力谴责；判刑
condescend v.屈尊，俯就
condign a.罪有应得的；适宜的
condole v.同情，哀悼
conducive a.有助于…的，有益的
confederacy n.联盟或同盟
confer v.讨论，商谈；赠予
confess v.承认，供认
confidant n.心腹朋友，知己，密友
confidential a.机密的
confiscate v.没收；充公
congeal v.冻结，凝固
congregate v.聚集，集合
conjoin v.使结合
conscience n.良心，是非感
conscript v.强行征兵，征召
consecrate v.奉献，使神圣
consensus n.意见一致
consent v.同意，允许
consequential a.傲慢的，自以为是的
console v.安慰，抚慰
consolidate v.巩固；(使)坚强；合并
consonance n.一致，调和
consonant a.调和的，一致的
conspicuous a.显著的，显而易见的
conspire v.阴谋，共谋
constellation n.星座，星群；一群杰出人物
construct v.建筑，构成
consul n.领事
contain v.包含，含有；控制；阻止，遏制
contaminate v.使…受污染(环境，思想)
contend v.与对手竞争；据理力争
contented a.心满意足的
contest v.竞争；对…表示质疑，对…提出异议，争辩
contiguous a.接壤的，接近的
contort v.(使)扭曲；曲解
controvert v.反驳，驳斥
contumacious a.（无理）违抗的，不服从的
contumacy n.抗命，不服从
contumely n.无礼，傲慢
conundrum n.(答案有双关意义的)谜语；难题
convalescent a./n.康复中的(病人)
convene v.集合；召集
convergent a.会聚的
convict v.定罪；n.罪犯
convoke v.召集
convoy v.护航，护送
convulse v.使震动，震惊
cordial a.热诚的 n.兴奋剂
coronation n.加冕礼
corporeal a.肉体的，身体的；物质的
correspondent a.符合的；n.记者，通讯员
corrode v.腐蚀，侵蚀
corrugate v.(使)起波浪形，起皱纹
corrugated a.起皱纹的
corrupt a.堕落的，腐败的；文体有错误的
coruscate v.闪亮
cosmopolitanism n.世界性，世界主义
cosmos n.宇宙
cosset v.宠爱，溺爱
costume n.服装；剧装
cosy(cozy) a.温暖而舒适
coterminous a.毗连的，有共同边界的
countrified a.乡村的；粗俗的
coup n.妙计，成功之举
covenant n.契约；v.立书保证
covert a.秘密的，隐密的
cow v.威胁
coward n.胆小鬼
cower v.(因寒冷或害怕)畏缩，蜷缩
coy a.腼腆的，忸怩的
cozen v.欺骗, 哄骗
crab n.蟹，螃蟹；v.抱怨，发脾气
crabbed a.暴躁的
crack n.爆裂声；裂缝；v.裂开；破解，破译
crackpot n.怪人，疯子；狂想家
crafty a.狡诈的；灵巧的
cramp n.铁箍，夹子；v.把…箍紧
cranky a.怪癖的；不稳的
crass a.愚钝的；粗鲁的
craven a.懦弱的，畏缩的
credence n.相信，信任
credo n.信条
creep v.匍匐前进；悄悄地移动，蹑手蹑脚的走
crepuscular a.朦胧的，微明的
crescendo n.(音乐声音)渐强，高潮
crib v.抄袭，剽窃
crimp v.使起皱，使（头发）卷曲；抵制，束缚
cringing n./a.谄媚(的)，奉承(的)
croak n.蛙鸣声；v.发牢骚，抱怨
cronyism n.(由指政治上)任人唯亲；对好朋友的偏袒
crook v.使弯曲；n.钩状物
croon v.低声歌唱
crouch v.蹲伏，弯腰
crucial a.决定性的
crudity n.粗糙，生硬
crumble v.弄碎；崩毁
crusade n.维护理想、原则而进行的运动或斗争
cub n.幼兽；笨手笨脚的年轻人
cuddle v./n. 搂抱，拥抱
cue v.暗示，提示；n.暗示，提示
cull v.挑选，精选 n.剔除的东西
culmination n.顶点；最终结果、最终结论
culprit n.罪犯
cult n.宗派；崇拜
cultivate v.种植；向…讨好
cultivated a.耕种的，栽植的；有修养的
cumber v.拖累，妨碍
cunning a.善于骗人的；灵巧的；n.欺诈行为
cupidity n.贪婪
curator n.(博物馆等)馆长
curdle v.使凝结，变稠
curfew n.宵禁
cutlery n.(刀、叉、匙等)餐具
cyclone n.气旋，飓风
cynosure n.注意的焦点
dabble v.涉足，浅赏
daft a.傻的
dainty n.精美食品；a.娇美的；挑剔的
dalliance n.虚度光阴；调情
dally v.闲荡，嬉戏
damn v.(严厉地）批评，谴责 a.该死的
damp v.减弱，制止振动；a.潮湿的
dangle v.悬荡，悬摆
dank a.阴湿的，透水的
dapper a.整洁漂亮的；动作敏捷的
daredevil a./n.胆大的(人)，冒失的(人)
dash v.猛撞，猛砸，击碎；挫败；使愧疚
daub v.涂抹；乱画
dawdle v.闲荡，虚度
daze n.迷乱，恍惚 v.使茫然，使眩晕
deaden v.减低某物的力量或强度
deadlock n.相持不下，僵局
debar v.阻止
debark v.下船，下飞机，下车，卸载
#List
debility n.衰弱，虚弱
debonair a.温雅的，无忧无虑的
debrief v.盘问，听取报告
debris n.废墟，残骸
debunk v.揭穿真相，暴露（坏事，贬义）
decamp v.（士兵)离营；匆忙秘密地离开
decant v.轻轻倒出
deceit n.欺骗，欺诈
decency n.正派，端庄
decentralize v.分散，权力下放
deception n.欺骗手段
declaim v.高谈阔论
decomposition n.分解，腐烂，崩溃
decoy v.诱骗
decree n.命令，法令 v.颁布命令
dedication n.奉献，献身
deduce v.演绎，推断
deduct v.减去，扣除；演绎
deductive a.推理的，演绎的
deed n.行为；(土地或建筑物的)转让契约、证书
deface v.损坏外观
defame v.诽谤，中伤
deficit n.不足，赤字
defile v.弄污，弄脏；n.(山间)小道
deflect v.偏离，转向
defraud v.欺骗某人
defray v.支付，支出
defuse v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
dejected a.沮丧的，失望的
delectable a.（食物）赏心悦目的
delegate n.代表；v.委派…为代表，授权
delicate a.娇嫩的；精致的，优美的
delinquent a.疏忽职务的
delirium n.精神错乱
delusion n.欺骗，幻想
deluxe a.豪华的，华丽的
delve v.深入探究，钻研
demagogue n.蛊惑民心的政客
demarcate v.划分，划界
demeanour n.举止，行为
demented a.疯狂的
demolition n.破坏，毁坏
demonstrative a.证明性的；喜怒形于色的
demoralize v.使士气低落
demote v.降级，降职
demure a.严肃的，矜持的
den n.兽穴，窝
denture n.假牙
denude v.脱去；剥蚀；剥夺
denunciate v.公开指责，公然抨击，谴责
depose v.免职；作证
deposit v.存放；使沉积
depraved a.堕落的，腐化的
depravity n.堕落，恶习
depredation n.劫掠，蹂躏
depressed a.消沉的；凹陷的
depression n.忧愁，消沉；数量减少
deprivation n.剥夺；缺乏
depute v.派…为代表或代理
deputize v.代理，代表
deputy n.代表；副手
deracinate v.根除，杜绝
dereliction n.遗弃；玩忽职守的
derivation n.发展，起源；词源
derogate v.贬低，诽谤
desert v.放弃，离弃
deserter n.背弃者，逃亡者
desiccate v.(使)完全干涸，脱水
desideratum n.必需品
desist v.停止，中止
desolate a.荒凉的，被遗弃的
despise v.鄙视，藐视
despoil v.夺取，强夺
despotic a.专横的，暴虐的
despotism n.专制，暴政
destitute adj.缺乏的，穷困的
destitution n.匮乏，穷困
destructible adj.可破坏的
desuetude n.废止，不用
detach v.分离...，拆下...；(士兵、舰船)派遣，分遣
detergent a.洗涤的，去污的；n.清洁剂
detonate v.(使)爆炸，引爆
detonation n.爆炸(声)，爆炸
detraction n.贬低，诽谤
deviate v.越轨，脱离
devise v.发明，设计；图谋；遗赠给
devotee n.爱好者，献身者
devotional a.献身的，崇拜的
dexterity n.纯熟，灵巧
diagnose v.判断，诊断
diagram n.图解，图表
diaphanous a.精致的，半透明的
diatribe n.(口头或书面猛烈的)抨击
dicker v.讨价还价
dictator n.独裁者
dictum n.格言，声明
differentiate v.辨别，区别
diffuse v.扩散；(光等)漫射；a.四散的；漫射的
digestion n.消化，吸收
digress v.离题
digression n.离题，题外话
dilapidate v.(使)荒废，(使)毁坏
dilemma n.困境，左右为难
dillydally v.磨蹭，浪费
dim v.使暗淡，使模糊
dimple n.酒窝，笑靥
dingy a.肮脏的；褪色的
dint v.击出凹痕
dire a.可怕的
disaffect v.使不满；使不忠
disavow v.否认，否定，抵赖
disburse v.支付，支出
discern v.(费劲)识别，看出
disclaim v.放弃权利；拒绝承认
disclose v.使某物显露
discombobulated a.扰乱的，打乱的
discord n.不和，纷争
discrepancy n.不同，矛盾
discretionary a.自由决定的
discriminate v.区分；歧视
disembodied a.无实体的，空洞的
disenchant v.对…不再抱幻想，使清醒
disengage v.脱离，解开
disentangle v.解决，解脱，解开，澄清
disfigure v.毁容
disfranchise v.剥夺…的权利，剥夺…公民权
disgruntle v.使不高兴
disguise v.假扮；掩饰
disgust n.反感，厌恶
dishevel v.使蓬乱，使（头发）凌乱
disheveled adj.（头发、服装等）不整的，凌乱的
disinter v.挖出，挖掘
disjunction n.分离，分裂
dislocate v.使脱臼；把…弄乱
dismantle v.拆除
dismay n.沮丧，气馁；v.使气馁
dispatch v.(快速)派遣；一下子做完；(快速)吃完；n.迅速
dispense v.分配，分发
disport v.玩耍，嬉戏
dispose v.使倾向；处理掉
disposed a.愿意的，想干的
disproof n.反证，反驳
disruptive a.制造混乱的
dissemble v.隐藏，掩饰(感受、意图)
dissertation n.专题论文
dissimulate v.隐藏，掩饰
dissociate v.分离，游离，分裂
dissociation n.分离，脱离关系
dissolute a.放荡的，行为不检的
dissuade v.劝阻，阻止
distaste v.厌恶 n.厌恶，不喜欢
distrait a.心不在焉的
distress n.痛苦，悲痛
district n.地区，行政区，（美国各州的）众议院选区
dither v.慌张；犹豫不决 n.慌张；慌乱
#List
divagate v.离题；漂泊
divine v.占卜，卜测；a.神的
dock v.剪短（尾巴等）；扣去（薪水，津贴）
dodge v.闪开，躲避
doff v.脱掉
dogmatism n.教条主义，武断
doleful a.忧愁的，消沉的
dolorous a.悲哀的，忧愁的
dominant a.(生)(遗传特征)显性的，优势的；最重要的，占支配地位的
donate v.捐赠，赠送
doodle v.胡乱画；混时间
dormancy n.休眠状态
dote v.溺爱；昏聩(to be foolish or weak minded)
double-cross v.欺骗，出卖
dour a.严厉的，阴郁的，倔强的
douse v.把…浸入水中；熄灭
dowdy a.不整洁的，过旧的
downpour n.倾盆大雨
draconian a.严厉的，严酷的
draggy a.拖拉的，极为讨厌的
drain v.排出沟外；喝光
drainage n.排水；排水系统
drawl v./n.慢吞吞地说话
drawn a.憔悴的
dreary a.沉闷的，乏味的
drench v.使湿透
drenched a.湿透的
drip v.滴下
drivel v.胡说 n.糊涂话
droll a.古怪的，好笑的
drool v.流口水；胡说
droop v.低垂；沮丧，萎靡
drought n.干旱；干旱时期
drub v.重击；打败
dulcet a.美妙的，悦耳的
duplicitous a.搞两面派的，奸诈的；双重的
duress n.胁迫
dyspeptic a.消化不良的；不高兴的
eaglet n.小鹰
earring n.耳环，耳饰
earthshaking a.极其重大或重要的
earthy a.粗俗的，土气的
easel n.黑板架，画架
ebullience n.（感情等的）奔放，兴高采烈；沸腾
ecstasy n.狂喜；出神，入迷
ecstatic a.狂喜的，心花怒放的
ecumenical a.世界范围的，普遍的
edgy a.急躁的，易怒的；尖利的，锐利的
eerie a.可怕的，怪异的
effeminate a.缺乏勇气的，柔弱的
effervesce v.(液体)冒泡；热情洋溢
effrontery n.厚颜无耻
effulgent a.(光线)灿烂的
egoism n.利己主义
eidetic a.印象异常清晰的；极为逼真的
ejaculate v.突然叫出或说出
elegy n.哀歌，挽歌
elephantine a.笨拙的；庞大的
elevate v.将…举起
elixir n.万能药，长生不老药
elliptical a.椭圆的；含糊的；省略的
elocution n.演说术
eloquence n.雄辩，口才，精彩演讲
emaciate v.使…瘦弱；消瘦
emaciation n.消瘦，衰弱
emanate v.散发，发出；发源
emasculate v.使柔弱；阉割 a.柔弱的
embargo n.禁运令，封港令
embarrass v.使忸怩，使难堪
embitter v.使痛苦，使难受
embody v.(作品等)表达，体现；使具体化
embolden v.鼓励
embroil v.使混乱，使卷入纠纷
emerald n.翡翠 a.翠绿色的
emigrate v.自本国移居他国
emissary n.密使；特使
emit v.放射(光、热、味等)
emolument n.报酬，薪水
emote v.激动地表达感情
empirical a.以经验或观察为根据的
empower v.授权给某人采取行动
empyreal a.天空的
enchant v.使迷醉；施魔法于
encipher v.译成密码
enclosure n.圈地，围占
encomiast n.赞美者
encompass v.包围，围绕
encyclopedia n.百科全书
encyclopedic adj.广博的，知识渊博的
endue v.赋予，授予
enfeeble v.使衰弱
enfetter v.给…上脚镣；束缚，使受制于
enflame v.燃烧
engaging a.迷人的，美丽动人的
engross v.全神贯注于
engulf v.吞噬
enjoin v.命令，吩咐
enlightening a.有启迪作用的；使人领悟的
enliven v.使…更活跃或更愉快
ennoble v.授予爵位，使高贵
ennui n.倦怠，无聊，不兴奋；v.使无聊
enormity n.极恶；暴行；巨大
enrapture v.使狂喜，使高兴
